dataset,label_type,model,cv_mode,cv_k,step,train_loss,test_loss,train_accuracy,test_accuracy,train_top2accuracy,test_top2accuracy,train_top3accuracy,test_top3accuracy
AMRB2,strain,drcaps,k-fold,0,82,0.270197198,0.331755873,0.505864951,0.398398504,0.702755768,0.615183372,0.808494723,0.741554087
AMRB2,strain,drcaps,k-fold,0,86,0.268853205,0.332180568,0.508907642,0.398596042,0.705675596,0.61561699,0.810518366,0.740942204
AMRB2,strain,drcaps,k-fold,0,92,0.26740015,0.334982797,0.512471904,0.395271638,0.708527968,0.613087552,0.812973237,0.739053557
AMRB2,strain,drcaps,k-fold,1,43,0.280520173,0.330799593,0.481068098,0.393831062,0.681947178,0.60856829,0.79358722,0.732963634
AMRB2,strain,drcaps,k-fold,1,68,0.270009063,0.334570537,0.506114292,0.39640868,0.705203412,0.612514213,0.810587025,0.73628322
AMRB2,strain,drcaps,k-fold,1,89,0.26509521,0.340831662,0.519266767,0.392342308,0.7153939,0.610403939,0.81775048,0.73537744
AMRB2,strain,drcaps,k-fold,1,90,0.265225179,0.345171498,0.519292062,0.386290929,0.715006035,0.606674825,0.817852867,0.732322843
AMRB2,strain,drcaps,k-fold,2,34,0.280332622,0.324471847,0.480429687,0.403009308,0.680672765,0.617707992,0.792706695,0.742715219
AMRB2,strain,drcaps,k-fold,2,70,0.268663916,0.325807676,0.508783574,0.408559618,0.706568167,0.624838598,0.811807234,0.748410068
AMRB2,strain,drcaps,k-fold,2,75,0.267322886,0.328077288,0.512440586,0.407465937,0.709257925,0.625426391,0.813748967,0.749561564
AMRB2,strain,drcaps,k-fold,2,92,0.262149678,0.333111902,0.525446105,0.403770549,0.720062733,0.622815048,0.820934104,0.746608144
AMRB2,strain,drcaps,k-fold,2,94,0.262196941,0.333894127,0.525499105,0.402503421,0.719809778,0.622511515,0.820936513,0.747422382
AMRB2,strain,drcaps,k-fold,3,93,0.262748421,0.326420923,0.523780213,0.407750198,0.719479731,0.62197672,0.820978672,0.744743587
AMRB2,strain,drcaps,k-fold,3,96,0.261728549,0.327523998,0.526253153,0.406801056,0.72143351,0.620068801,0.82258795,0.743741448
AMRB2,strain,drcaps,k-fold,4,29,0.286388134,0.333995673,0.468751581,0.383149608,0.66937891,0.589763726,0.782336729,0.716486153
AMRB2,strain,drcaps,k-fold,4,93,0.261458573,0.340217246,0.530171552,0.388935998,0.724331656,0.602743356,0.823712999,0.727374781
AMRB2,strain,drcaps,k-fold,4,94,0.261216044,0.340908154,0.530973782,0.387760412,0.725147136,0.601403958,0.823688908,0.726820713
AMRB2,strain,drcaps,k-fold,4,95,0.261036546,0.344095172,0.531062918,0.384831082,0.725104976,0.59980439,0.824435729,0.726642448
AMRB2,strain,drcaps,k-fold,5,80,0.268704182,0.331568252,0.509356939,0.398403322,0.706685008,0.610273854,0.810926708,0.735107634
AMRB2,strain,drcaps,k-fold,5,84,0.267607444,0.333805485,0.512104516,0.397174738,0.708814651,0.611097728,0.812118007,0.736133863
AMRB2,strain,drcaps,k-fold,5,93,0.265684582,0.339278879,0.517373215,0.391537705,0.713413621,0.605157162,0.81549195,0.73137852
AMRB2,strain,drcaps,k-fold,6,68,0.275948117,0.323791443,0.492508908,0.40734067,0.690572956,0.622511515,0.798518645,0.747513924
AMRB2,strain,drcaps,k-fold,6,94,0.268391565,0.324856424,0.510863831,0.410713253,0.706683803,0.626409258,0.810564139,0.751127407
AMRB2,strain,drcaps,k-fold,6,95,0.26797827,0.326420393,0.51189372,0.408998054,0.707661897,0.624886778,0.81065448,0.750814238
AMRB2,strain,drcaps,k-fold,7,52,0.279636654,0.326405987,0.482883354,0.399448823,0.682394066,0.615149646,0.792138147,0.74249841
AMRB2,strain,drcaps,k-fold,7,86,0.270160395,0.328566874,0.505980587,0.402055349,0.703200247,0.620858949,0.80780813,0.748299254
AMRB2,strain,drcaps,k-fold,7,91,0.268168594,0.32803474,0.510110987,0.403770549,0.706616349,0.621957448,0.81086889,0.748092081
AMRB2,strain,drcaps,k-fold,7,94,0.267370976,0.332578258,0.511914198,0.399126019,0.708632764,0.619572549,0.812179439,0.747114032
AMRB2,strain,drcaps,k-fold,8,50,0.276593701,0.337019256,0.491406745,0.387562875,0.68977434,0.607633602,0.798393372,0.73635549
AMRB2,strain,drcaps,k-fold,8,66,0.271035797,0.338244157,0.504330355,0.389851414,0.700960989,0.610721926,0.807087809,0.741192738
AMRB2,strain,drcaps,k-fold,8,91,0.263741195,0.345049446,0.522326322,0.386281293,0.716459926,0.60847193,0.81785648,0.738470581
AMRB2,strain,drcaps,k-fold,9,76,0.267041123,0.335098823,0.51399325,0.392221858,0.70999511,0.608515292,0.81362008,0.738277862
AMRB2,strain,drcaps,k-fold,9,93,0.261308943,0.343383366,0.5282515,0.385418875,0.721996035,0.603596138,0.82220129,0.732727553
AMRB2,strain,drcaps,k-fold,9,94,0.261099693,0.348787578,0.528887502,0.38069244,0.7224899,0.602285648,0.822078426,0.733970591
AMRB2,strain,drcaps,leave-out,0,78,0.259233634,0.723550011,0.526214394,0.006927873,0.725372384,0.028301645,0.82798711,0.057527006
AMRB2,strain,drcaps,leave-out,0,79,0.259338939,0.733149287,0.526405621,0.006106792,0.725245239,0.024324532,0.827888445,0.050214251
AMRB2,strain,drcaps,leave-out,1,3,0.320124559,0.561344263,0.395547255,0.149772481,0.591564238,0.341581798,0.714834548,0.420498375
AMRB2,strain,drcaps,leave-out,1,20,0.278089946,0.624028997,0.480736916,0.090877573,0.685046851,0.311809317,0.796702145,0.454821235
AMRB2,strain,drcaps,leave-out,1,81,0.252370531,0.639333786,0.54126336,0.080866739,0.739623893,0.272589382,0.838110961,0.40212351
AMRB2,strain,drcaps,leave-out,1,82,0.252319969,0.630679378,0.541813647,0.082773564,0.739858858,0.260888407,0.837977712,0.397009751
AMRB2,strain,drcaps,leave-out,2,1,0.361453099,0.568698183,0.311765352,0.017940453,0.490861783,0.050767665,0.614319252,0.086860633
AMRB2,strain,drcaps,leave-out,2,83,0.252729424,0.712628275,0.541403729,0.009245907,0.743146338,0.045466112,0.841887697,0.069810841
AMRB2,strain,drcaps,leave-out,3,17,0.311141907,0.567750525,0.415444034,0.104356235,0.609754212,0.375489032,0.731217018,0.597344938
AMRB2,strain,drcaps,leave-out,3,76,0.269477648,0.62172368,0.505131601,0.093059036,0.702315273,0.329465031,0.809051554,0.621785573
AMRB2,strain,drcaps,leave-out,3,79,0.276968148,0.628129122,0.489430631,0.085014726,0.687051684,0.331531056,0.796633995,0.638445646
AMRB2,strain,drcaps,leave-out,4,2,0.336186741,0.568021824,0.363096619,0.012596463,0.552931268,0.059452538,0.679443285,0.15866699
AMRB2,strain,drcaps,leave-out,4,3,0.324270756,0.583977255,0.387943942,0.013323182,0.579565752,0.048447936,0.70557834,0.131605357
AMRB2,strain,drcaps,leave-out,4,74,0.256826576,0.616918652,0.531628767,0.004983216,0.729098262,0.036093712,0.830013305,0.11001142
AMRB2,strain,drcaps,leave-out,5,7,0.303884167,0.602035625,0.427087529,0.088967972,0.628700957,0.128024911,0.750343802,0.154314947
AMRB2,strain,drcaps,leave-out,5,10,0.294505074,0.608595076,0.445648769,0.089546263,0.65009602,0.122375445,0.769281393,0.145373665
AMRB2,strain,drcaps,leave-out,5,85,0.256107594,0.642177226,0.529815161,0.06383452,0.730965778,0.103202847,0.833384192,0.129715302
AMRB2,strain,drcaps,leave-out,6,34,0.270499869,0.613991484,0.498152827,0.001883003,0.697572229,0.012113984,0.808052697,0.043309064
AMRB2,strain,drcaps,leave-out,7,71,0.264785622,0.579451307,0.514594293,0.068520894,0.714062519,0.217511645,0.818832619,0.337271316
AMRB2,strain,drcaps,leave-out,7,86,0.261005897,0.592230196,0.52464389,0.057314521,0.721990308,0.179774522,0.824013044,0.28130696
